,发病部位,名称,就诊科室,概述,疾病用药,疾病自测
5154,全身,兽咬伤,外科,犬、猫、猪等家畜或鼠、狼等野兽可能咬伤人体，以犬咬伤较多见。这类兽咬伤有伤口或伤痕，并带有致病微生物的沾染，因此可能继发感染。一般的咬伤所继发的感染，病菌是金黄葡萄球菌、溶血性链球菌、大肠杆菌、拟杆菌、破伤风梭菌等;严重的是狂犬病病毒，由患狂犬病的犬、猫或狼等咬伤或抓伤带入人体组织。咬伤后应立即处理伤口。先用等渗盐水反复冲洗，用干纱布蘸干净伤口，以70%酒精或碘附消毒周围皮肤。较深的伤口需用3%过氧化氢冲洗，必要时稍扩大伤口，不予缝合，以利引流。此外，注射破伤风抗毒素1500U，并开始用抗菌药如青霉素、甲硝唑等。,暂无数据,暂无数据
5155,腹部,肾病综合征(肾综),内科,肾病综合征（nephroticsyndrome，NS）它不是一独立性疾病，而是肾小球疾病中的一组临床症候群。,别嘌醇片,肾病健康自测
5156,全身,糖尿病,"内分泌科,中医科,老年病科",糖尿病是由遗传和环境因素相互作用而引起的常见病，临床以高血糖为主要标志，常见症状有多饮、多尿、多食以及消瘦等。糖尿病若得不到有效的治疗，可引起身体多系统的损害。引起胰岛素绝对或相对分泌不足以及靶组织细胞对胰岛素敏感性降低，引起蛋白质、脂肪、水和电解质等一系列代谢紊乱综合征，其中一高血糖为主要标志。临床典型病例可出现多尿、多饮、多食、消瘦等表现，即“三多一少”症状。,"盐酸苯乙双胍片,二甲双胍格列本脲片(Ｉ),盐酸吡格列酮片,格列吡嗪片","糖尿病程度自测,糖尿病自测Ⅰ,糖尿病自测Ⅴ,糖尿病自测Ⅲ,糖尿病自测Ⅱ"
5157,"腹部,女性盆骨",痛经,"妇产科,妇科,中医科",痛经(dysmenorrhea)，系指经期前后或行经期间，出现下腹部痉挛性疼痛，并有全身不适，严重影响日常生活者。分原发性和继发性两种。经过详细妇科临床检查未能发现盆腔器官有明显异常者，称原发性痛经，也称功能性痛经。继发性痛经则指生殖器官有明显病变者，如子宫内膜异位症、盆腔炎、肿瘤等。,"生脉饮(党参方),乌鸡白凤丸","痛经程度自测,痛经自测,痛经成因自测"
5158,全身,痛风(高尿酸血症),"风湿免疫科,中医科,老年病科",痛风(gout)是尿酸过量生产或尿酸排泻不充分引起的尿酸堆积造成的，尿酸结晶堆积在软骨，软组织，肾脏以及关节处。在关节处的沉积会造成剧烈的疼痛。,"苯溴马隆片,秋水仙碱片,吲哚美辛栓",痛风自测
5159,头,头痛,"神经内科,中医科",头痛是临床常见症状之一，通常指局限于头颅上半部，包括眉弓、耳轮上缘和枕外隆突连线上的疼痛。病因较复杂，可由颅内病变，颅外头颈部病变，头颈部以外躯体疾病及神经官能症、精神病引起。,"双水杨酯片,感冒灵冲剂,对乙酰氨基酚片,已酮可可碱注射液","紧张性头痛程度自测,头痛自测Ⅰ,头痛原因自测,小儿头痛查因,头痛自测Ⅱ"
5160,头,"头外伤(头皮裂伤,头皮撕脱伤)","外伤科,急诊科",头皮裂伤多由锐器或钝器致伤。裂口大小，深度不一，创缘整齐或不整齐，有时伴有皮肤挫伤或缺损，由于头皮血管丰富，血管破裂后不易自行闭合，即使伤口小出血也较严重，甚至因此发生休克。,"洛索洛芬钠胶囊,盐酸曲马多注射液",暂无数据
5161,"头,皮肤",脱发(掉头发),,脱发是头发脱落的现象。有生理性及病理性之分。生理性脱发指头发正常的脱落。病理性脱发是指头发异常或过度的脱落。,"复方醋酸环丙孕酮片,养血生发胶囊,米诺地尔酊,天麻首乌片,首乌丸","脂溢性脱发自测,脱发自测Ⅰ,病态脱发症自测,脱发、秃发自测,脱发自测Ⅱ"
5162,全身,痛风性关节炎,"风湿免疫科,中医科",痛风性关节炎是由于尿酸盐沉积在关节囊、滑囊、软骨、骨质和其他组织中而引起病损及炎性反应，它多有遗传因素和家族因素，好发于40岁以上的男性，多见于拇趾的跖趾关节，也可发生于其他较大关节，尤其是踝部与足部关节。主要表现为关节的剧痛，常常为单侧性突然发生。关节周围组织有明显肿胀、发热、发红和压痛。作血尿酸检查可以确诊。应用药物治疗有较好的疗效。,注射用重组人Ⅱ型肿瘤坏死因子受体-抗体融合蛋白,暂无数据
5163,耳,突发性耳聋,"耳鼻咽喉科,急诊科",突发性耳聋（以下简称突聋）是一种突然发生的原因不明的感觉神经性耳聋，又称暴聋。其发病急，进展快，治疗效果直接与就诊时间有关，应视为耳科急诊。,"己酮可可碱缓释片,尼莫地平软胶囊,已酮可可碱注射液,葛根素注射液,注射用降纤酶",耳聋自测
5164,女性盆骨,胎热,产科,胎热是指因孕母恣食辛热炙煿之物，或患热病失于清解，以致胞宫积热，影响及胎儿。,暂无数据,暂无数据
5165,"腹部,全身",胎死宫内(子宫内死胎),"妇产科,产科,中医科",胎死宫内是指妊娠产物从母体完全排除之前胎儿已经死亡。早期胎儿死亡是孕周<20周，中、晚期分别指孕周20～27周及28周以上。WHO把胎儿死亡定义为胎儿无呼吸或任何其他生命征象，如心跳、脐带搏动或明确的随意肌肉的运动。在美国，国家健康统计中心认为死胎为孕20周之后发生的胎儿死亡。在其他国家，尤其是一些发展中国家，则指孕28周以后发生的胎儿死亡。我国的死胎定义为孕20周以后的胎儿死亡及分娩过程中的死产。在所有已诊断妊娠中胎儿死亡率为15%～20%，孕20周后死胎约占全部妊娠的1%。目前，随着产时胎儿电子监护水平的提高以及剖宫产技术的改进，死产发生率下降明显，而产前胎儿死亡却未相应下降，因此，对胎死宫内进行深入的研究仍是产科医师面临的重要课题之一。,暂无数据,暂无数据
5166,头,头皮血肿,"脑外科,外伤科",头皮血肿多因钝器伤及头皮所致。,暂无数据,暂无数据
5167,全身,特发性血小板减少性紫癜(免疫性血小板减少性紫癜),血液病科,"特发性血小板减少性紫癜(idiopathicthrombocytopenicpurpura,ITP)是小儿最常见的出血性疾病，其特点是自发性出血，血小板减少，出血时间延长和血块收缩不良。骨髓中巨核细胞的发育受到抑制。根据北京儿童医院1955～1980年因出血性疾病住院的病儿4000例统计，其中血小板减少性紫癜1004例，占25.1%。近年的研究均支持ITP的免疫与免疫机制有关，因此认为应改称为免疫性血小板减少性紫癜(immunehrombocytopenicpurpura)。","盐酸噻氯匹定片,盐酸噻氯匹定胶囊,依诺肝素钠注射液,尿激酶",特发性血小板减少性紫癜自测
5168,腹部,臀先露,产科,臀先露（breechpresentation）是最常见的异常胎位，约占妊娠足月分娩总数的3％～4％。因胎头比胎臀大，且分娩时后出胎头无明显变形，往往娩出困难，加之脐带脱垂较多见，使围生儿死亡率增高，是枕先露的3～8倍。臀先露以骶骨为指示点，有骶左前、骶左横、骶左右，骶右前、骶右横、骶右后6种胎位。,暂无数据,暂无数据
5169,"口,皮肤",天疱疮,口腔科,天疱疮（pemphigus）是一类重症的皮肤病。特征为薄壁、易于破裂的大疱，组织病理为棘刺松解所致的表皮内水疱，有特征性的免疫学所见。,异维A酸胶丸,暂无数据
5170,头,头晕,"内科,神经内科","头晕英文是dizziness,;是一种常见的脑部功能性障碍，也是临床常见的症状之一。为头昏、头胀、头重脚轻、脑内摇晃、眼花等的感觉。头晕可由多种原因引起，最常见于发热性疾病、高血压病、脑动脉硬化、颅脑外伤综合症、神经症等。此外，还见于贫血、心律失常、心力衰竭、低血压、药物中毒、尿毒症、哮喘等。抑郁症早期也常有头晕。头晕可单独出现，但常与头痛并发。头晕伴有平衡觉障碍或空间觉定向障碍时，患者感到外周环境或自身在旋转、移动或摇晃，称为头晕。?",暂无数据,暂无数据
5171,全身,铜绿假单胞菌感染(绿脓杆菌感染),"呼吸内科,血液病科,心胸外科,外伤科",假单胞菌属在自然界分布广泛，对人和动物有致病性的菌种有十余种，以铜绿假单胞菌(绿脓杆菌)在医学中最为重要。本属细菌侵袭性弱，一般认为属条件致病菌。当机体免疫功能受损或缺损时，可引起严重的甚至致死性的感染;手术后或某些治疗操作后(气管切开、保留导尿管等)的患者也易罹患本菌感染，故亦为医院内感染的重要病原菌之一。铜绿假单胞菌可感染人体的血液、呼吸、中枢神经、泌尿等各个系统组织，引起一系列病变。,暂无数据,暂无数据
5172,背部,头位难产,"妇产科,产科",头位难产系指非枕前位之胎头，因在盆腔内回转受阻，成为持续性枕后位、枕横位；或因胎头俯屈不良，胎头呈不同程度的仰伸，遂成面先露、额先露、顶先露等。此类因胎头之最大径线与骨产道诸径线不尽相适应，导致难产。,暂无数据,暂无数据
5173,全身,吞噬功能缺陷病(吞噬功能不全),"呼吸内科,内分泌科,风湿免疫科,皮肤病科",吞噬功能缺陷病，包括慢性肉芽肿病和Chediak-Higashi综合征。吞噬功能缺陷将导致机体对病原微生物的易感性增高，常发生各种化脓菌感染及条件致病菌的感染。原发性吞噬功能缺陷系指先天性或遗传性的内源性吞噬功能不全。,暂无数据,暂无数据
5174,腹部,吞气症(神经性喛气，婴儿吞气症),"内科,消化内科,儿科",吞气症(Aerophagia)是由于小儿过度吞气引起腹胀、腹部不适，进而引起小儿限制进食，严重者可引起剧烈腹痛。,盐酸布比卡因注射液,吞气症自测
5175,,头虱,皮肤病科, ,暂无数据,暂无数据
5176,,胎停,"妇产科,产科",胎停育是指胚胎发育到一个阶段发生了死亡而停止继续发育,暂无数据,暂无数据
5177,,头皮撕脱伤,"外科,小儿科",头皮撕脱伤多因发辫受机械力牵扯使大块头皮自帽状腱膜下层或连同颅骨骨膜被撕脱所致它可导致失血性或疼痛性休克,暂无数据,暂无数据
5178,全身,体温过低,急诊科,因长期暴露于任何温度，人体散热大于产热时，可引起体温过低。体温过低最常见于寒冷季节或浸泡在水中。,暂无数据,暂无数据
5179,腰部,糖尿病肾病,"肾内科,中医科",由于糖尿病糖代谢异常为主因所致的肾小球硬化，并伴尿蛋白含量超过正常，称为糖尿病肾病。,"别嘌醇缓释胶囊,注射用重组人红细胞生成素-β,罗格列酮钠片,别嘌醇片",暂无数据
5180,"腹部,女性盆骨",胎盘早剥,"心血管内科,产科",妊娠20周后或分娩期，正常位置的胎盘在胎儿娩出前，部分或全部从子宫壁剥离，称为胎盘早剥（placentalabruption）。胎盘早剥是妊娠晚期的一种严重并发症，短训班起病急、进展快，若处理不及时，可危及母儿生命。国内报道的发生率为4.6‰～21‰，国外的发生率为5.1‰～23.3‰。发生率高低与分娩后是否仔细检查胎盘有关。有些轻型胎盘早剥于临产前可无明显症状，只在产后检查胎盘时，发现早剥处有凝血块压迹，此类患者易被忽略。,暂无数据,暂无数据
5181,"头部,皮肤",太田痣(上腭部褐青色痣),,"太田痣，是东方民族常见的、以眼周区域青褐色斑痣为特点的色素性胎记（虽然有时并不都在出生时出现）。在中国，太田痣患者占皮肤科门诊的约0.4％和整形外科门诊人数的2.6％,男女比例为1:3。大约半数的患者生时即被发现该病，但也有的是到儿童期开始发现，个别病人到青春期才逐渐显现，表现为棕色、灰色及蓝色的斑点所组成的斑片，病灶边界不清，病灶内的斑点色泽可以单色，也可兼有上述颜色，而且色泽深浅不一。太田痣的在早期可以缓慢生长，但生长的自限性难有定论，有的患者到儿童期时即开始长期稳定，多数专家认为到青春期后即较为稳定，但也有个别人至30岁左右仍有缓慢生长的倾向。",暂无数据,暂无数据
5182,"口,胸部",胎儿宫内窘迫(胎儿窘迫),"呼吸内科,妇产科,儿科",胎儿在宫内有缺氧征象危及胎儿健康和生命者，称为胎儿窘迫（fetaldistress）。胎儿窘迫是一种综合症状，是当前剖宫产的主要适应征之一。胎儿窘迫主要发生在临产过程，也可发生在妊娠后期。发生在临产过程者，可以是发生在妊娠后期的延续和加重。,暂无数据,暂无数据
5183,头,头皮感染,外伤科,头皮感染（Scalpinfection）多为伤后初期处理不当所致，常在皮下组织层发生感染。若处理不善，病人头皮可发生坏死，或向深部侵蚀引起颅骨骨髓炎、硬膜外积脓，甚至导致硬膜下积液和脑脓肿。,"注射用盐酸丙帕他莫,碘酊,林可霉素利多卡因凝胶",头皮屑自测
